[RTaW-SwitchEth-Csv-Format];2.0
[NodeSet]
[Name];NodeSet
[TxStackConfigs]
[QueuesTxTimings]
[Name];[Ignore Priorities];[Emission Pauses (byte)]
TxTiming;false;
[Nodes]
[Name]
ECU1
ECU2
ECU3
DM1
DM2
DM3
CAM1
CAM2
CAM3
CAM4
Display1
Display2
Display3
Display4
[EthernetTopology]
[Name];Topology
[NodeSet];NodeSet
[Routers]
[Name];[Switching (us)];[Memory (byte)]
Switch1;15;
Switch2;15;
Switch3;15;
Switch4;15;
Switch5;15;
[Wired Links]
[Name];[End1];[Interface1];[End2];[Interface2];[Speed (Mbit/s)];[Bit Traversal Time]
CAM1<->Switch1;CAM1;P1;Switch1;P1;100;
CAM2<->Switch1;CAM2;P1;Switch1;P2;100;
CAM3<->Switch1;CAM3;P1;Switch1;P3;100;
Display1<->Switch4;Display1;P1;Switch4;P1;100;
Switch4<->Switch2;Switch4;P2;Switch2;P2;100;
Switch2<->Switch1;Switch2;P3;Switch1;P4;100;
Switch4<->Dispaly2;Switch4;P0;Display2;P1;100;
ECU1<->Switch2;ECU1;P1;Switch2;P4;100;
Display3<->Switch5;Display3;P1;Switch5;P2;100;
Display4<->Switch5;Display4;P1;Switch5;P3;100;
Switch5<->Switch3;Switch5;P1;Switch3;P2;100;
Switch3<->Switch2;Switch3;P1;Switch2;P1;100;
CAM4<->Switch3;CAM4;P1;Switch3;P3;100;
ECU2<->Switch3;ECU2;P1;Switch3;P4;100;
ECU3<->Switch3;ECU3;P1;Switch3;P5;100;
DM3<->Switch3;DM3;P1;Switch3;P0;1000;
DM2<->Switch2;DM2;P1;Switch2;P0;100;
DM1<->Switch1;DM1;P1;Switch1;P5;100;
[GenericSyncConfig];[ClockPrecision];[ClockConfig]
[AVBTrafficClasses]
[Name];[CMI (us)];[MIF];[MFS (byte)];[SizeType]
CMI=1333us for 'Audio' (Precise ).;1333;1;404;ETHERNET_FRAME_SIZE_QTAG
CMI=250us for 'Video' (Precise ).;250;1;688;ETHERNET_FRAME_SIZE_QTAG
[EthernetComNeed]
[Name];FrameComNeed
[NodeSet];NodeSet
[SenderReceiverMap];Main Sender/Receiver Map
[TrafficClasses]
[Name];FIFO classes
[TrafficClassConfiguration]
[Name];[Priority];[SchedulingPolicy];[PolicyConfig];[Express]
C&C;6;FIFO;;false
Audio;5;FIFO;;false
Video;4;FIFO;;false
BE;1;FIFO;;false
[TxOffsetConfigs]
[Name];[TimeIsGlobal]
Random Offsets (C&C, 1000 us);true
[Frames]
[Name];[Vlan(id)];[Priority];[ArrivalType];[MinDistance (ms)];[MaxDistance (ms)];[SizeType];[Min Size (byte)];[MaxSize (byte)];[BurstSize];[Sender];[Producer];[Receiver];[Consumer];[Latency (ms)];[TxOffset (ms)]
TFTP1_DAT;;1;HigherLevelInduced;;;;;;;DM3;;DM2;;;
TFTP1_ACK;;1;HigherLevelInduced;;;;;;;DM2;;DM3;;;
BE4;;1;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;558;558;;DM3;;Display1;;;
BE5;;1;Periodic;100;;ETHERNET_FRAME_SIZE_QTAG;64;64;;Display1;;DM3;;;
BE6;;1;Periodic;1000;;ETHERNET_FRAME_SIZE_QTAG;1000;1000;;DM3;;ECU3;;;
BE1;;1;Periodic;200;;ETHERNET_FRAME_SIZE_QTAG;558;558;;CAM1;;DM1;;;
TFTP2_DAT;;1;HigherLevelInduced;;;;;;;DM1;;ECU3;;;
TFTP2_ACK;;1;HigherLevelInduced;;;;;;;ECU3;;DM1;;;
TFTP3_DAT;;1;HigherLevelInduced;;;;;;;ECU3;;DM3;;;
TFTP3_ACK;;1;HigherLevelInduced;;;;;;;DM3;;ECU3;;;
TFTP4_DAT;;1;HigherLevelInduced;;;;;;;ECU3;;DM1;;;
TFTP4_ACK;;1;HigherLevelInduced;;;;;;;DM1;;ECU3;;;
BE2;;1;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;ECU1;;DM3;;;
BE2;;1;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;ECU1;;ECU3;;;
BE2;;1;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;ECU1;;DM2;;;
BE2;;1;Periodic;500;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;ECU1;;Display1;;;
BE3;;1;Periodic;1000;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;DM2;;DM3;;;
BE3;;1;Periodic;1000;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;DM2;;ECU3;;;
BE3;;1;Periodic;1000;;ETHERNET_FRAME_SIZE_QTAG;1400;1400;;DM2;;Display1;;;
TFTP1_RRQ;;1;HigherLevelInduced;;;;;;;DM2;;DM3;;;
TFTP2_RRQ;;1;HigherLevelInduced;;;;;;;ECU3;;DM1;;;
TFTP3_RRQ;;1;HigherLevelInduced;;;;;;;DM3;;ECU3;;;
TFTP4_RRQ;;1;HigherLevelInduced;;;;;;;DM1;;ECU3;;;
AD1;;5;Periodic;1.333;;AVTP_PAYLOAD_IEC_61883;300;300;;CAM1;;ECU1;;5;
VD1;;4;PeriodicBursts;33.333;;AVTP_PAYLOAD_H264_CVF;721;721;25;CAM1;;ECU3;;30;
VD2;;4;PeriodicBursts;16.666;;AVTP_PAYLOAD_H264_CVF;740;740;50;CAM2;;Display4;;20;
CC1;;6;Periodic;10;;ETHERNET_FRAME_SIZE_QTAG;256;256;;CAM2;;ECU2;;10;4.000000
